issuer,closing_month,project,address,state,amount_financed,sector_guess,closed,entity_type,sponsor,source,source_url,retrieved
Phoenix Industrial Development Authority,Jan-2012,Great Hearts Academies - Veritas,"Preparatory Academy 3102 N. 56th St., Phoenix, AZ",AZ,16400000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Dec-2011,City and Country School,"146 W. 13th St., New York, NY",NY,17200000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Dec-2011,Marcos de Niza Apartments,"305 W. Pima St., Phoenix, AZ",AZ,13600000,housing,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Sep-2011,Riverdale Country School,"5250 Fieldston Rd., Bronx, NY",NY,24100000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,May-2011,Arizona School for the Arts,"1410 N. 3rd St., Phoenix, AZ",AZ,8800000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Dec-2010,Nightingale-Bamford School,"East 92nd St., New York, NY",NY,15000000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Dec-2010,Friends Seminary SchoolX,"222 E. 16th St., New York, NY",NY,25500000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Mar-2010,EAGLE College PreparatoryX,"2450 W. South Mountain Ave., Phoenix, AZ",AZ,7000000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Mar-2010,Dunn-Edwards Corporation                                                                                  X0,"520 S. 67th Ave., Phoenix, AZ",AZ,7500000,unknown,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Jan-2010,W.L. Gore & Associates,"32212 N. Valley Pkwy., Phoenix, AZ",AZ,30000000,unknown,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Dec-2009,Career Success Schools,"3817 N. 27th. Ave., Phoenix, AZ 3120 N. 32nd St., Phoenix, AZ",AZ,11200000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Mar-2009,ACCEL,"10251 N. 35th Ave., Phoenix, AZ 1430 E. Baseline Rd., Tempe, AZ",AZ,3200000,unknown,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
